route_avion,origin_iata,destination_iata,origine_avion,destination_avion,origin_country,destination_country,distance_avion,airline_count,route_train_candidate,origin_train,destination_train,distance_train,duration_train,train_type,weekly_frequency,estimated_co2_saving_kg,substitution_potential,match_score,match_method
NAP-CTA,NAP,CTA,Napoli,Catania,IT,IT,386.0,3,trenitalia_1-4753-20E-0083,OLBIA,CAGLIARI,192.9,208.0,day,6,28.94,faible_potentiel,84.675,country_distance
NAP-DUS,NAP,DUS,Napoli,Düsseldorf,IT,DE,1292.6,3,back_on_track_ÖBB NJ 294,Roma Tiburtina,München Hbf,1092.0,912.0,night,7,163.8,faible_potentiel,85.406,country_distance
NAP-FRA,NAP,FRA,Napoli,Frankfurt am Main,IT,DE,1109.6,2,back_on_track_ÖBB NJ 294,Roma Tiburtina,München Hbf,1092.0,912.0,night,7,163.8,faible_potentiel,85.675,country_distance
NAP-HAM,NAP,HAM,Napoli,Hamburg,IT,DE,1453.2,2,back_on_track_ÖBB NJ 294,Roma Tiburtina,München Hbf,1092.0,912.0,night,7,163.8,faible_potentiel,82.119,country_distance
NAP-HAJ,NAP,HAJ,Napoli,Hannover,IT,DE,1333.5,1,back_on_track_ÖBB NJ 294,Roma Tiburtina,München Hbf,1092.0,912.0,night,7,163.8,faible_potentiel,83.63,country_distance
NAP-CGN,NAP,CGN,Napoli,Köln (Cologne),IT,DE,1238.6,1,back_on_track_ÖBB NJ 294,Roma Tiburtina,München Hbf,1092.0,912.0,night,7,163.8,faible_potentiel,84.041,country_distance
NAP-FMM,NAP,FMM,Napoli,Memmingen,IT,DE,852.4,1,back_on_track_ÖBB NJ 236,Venezia Santa Lucia,Stuttgart Hbf,852.0,741.0,night,7,127.8,faible_potentiel,88.152,country_distance
NAP-MUC,NAP,MUC,Napoli,Munich,IT,DE,853.6,3,back_on_track_ÖBB NJ 236,Venezia Santa Lucia,Stuttgart Hbf,852.0,741.0,night,7,127.8,faible_potentiel,89.911,country_distance
NAP-PMO,NAP,PMO,Napoli,Palermo,IT,IT,318.4,2,trenitalia_1-4753-20E-0083,OLBIA,CAGLIARI,192.9,208.0,day,6,28.94,faible_potentiel,85.328,country_distance
NAP-LIN,NAP,LIN,Napoli,Segrate (MI),IT,IT,649.6,4,back_on_track_FS IC Notte 770,Trieste Centrale,Roma Termini,711.0,684.0,night,7,106.65,potentiel_moyen,93.044,country_distance
NAP-STR,NAP,STR,Napoli,Stuttgart,IT,DE,955.0,3,back_on_track_ÖBB NJ 236,Venezia Santa Lucia,Stuttgart Hbf,852.0,741.0,night,7,127.8,faible_potentiel,99.104,country_city_distance
NAP-VCE,NAP,VCE,Napoli,Venezia (VE),IT,IT,537.1,2,back_on_track_FS IC Notte 770,Trieste Centrale,Roma Termini,711.0,684.0,night,7,106.65,potentiel_moyen,85.733,country_distance
NAP-VIE,NAP,VIE,Napoli,Vienna,IT,AT,823.3,1,back_on_track_ÖBB NJ 40236,Venezia Santa Lucia,Wien Hbf,619.0,672.0,night,7,92.85,potentiel_moyen,90.025,country_distance
NAP-BRU,NAP,BRU,Napoli,Zaventem,IT,BE,1345.1,2,back_on_track_ES 457,Milano Porta Garibaldi,Bruxelles Midi / Brussel Zuid,1107.0,1060.0,night,3,166.05,faible_potentiel,79.789,country_distance
OLB-DUS,OLB,DUS,Olbia (SS),Düsseldorf,IT,DE,1174.5,3,back_on_track_ÖBB NJ 294,Roma Tiburtina,München Hbf,1092.0,912.0,night,7,163.8,faible_potentiel,90.845,country_distance
OLB-FRA,OLB,FRA,Olbia (SS),Frankfurt am Main,IT,DE,1017.7,1,back_on_track_ÖBB NJ 294,Roma Tiburtina,München Hbf,1092.0,912.0,night,7,163.8,faible_potentiel,87.562,country_distance
OLB-FDH,OLB,FDH,Olbia (SS),Friedrichshafen,IT,DE,753.1,1,back_on_track_ÖBB NJ 236,Venezia Santa Lucia,Stuttgart Hbf,852.0,741.0,night,7,127.8,faible_potentiel,82.288,country_distance
OLB-HAM,OLB,HAM,Olbia (SS),Hamburg,IT,DE,1416.1,3,back_on_track_ÖBB NJ 294,Roma Tiburtina,München Hbf,1092.0,912.0,night,7,163.8,faible_potentiel,85.927,country_distance
