airline_iata,airline_id,origin_iata,origin_airport_id,destination_iata,destination_airport_id,codeshare,stops,equipment,origin_name,origin_city,origin_country,origin_latitude,origin_longitude,destination_name,destination_city,destination_country,destination_latitude,destination_longitude,air_distance_km,route_pair
4U,2548.0,ARN,737.0,HAM,342.0,,0,CRJ,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Hamburg Helmut Schmidt Airport,Hamburg,DE,53.630402,9.98823,825.6,ARN-HAM
4U,2548.0,ATH,3941.0,CGN,344.0,,0,319,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR,37.936401,23.9445,Cologne Bonn Airport,Köln (Cologne),DE,50.865898,7.14274,1952.7,ATH-CGN
4U,2548.0,ATH,3941.0,STR,350.0,,0,319,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR,37.936401,23.9445,Stuttgart Airport,Stuttgart,DE,48.689899,9.22196,1682.2,ATH-STR
4U,2548.0,BCN,1218.0,CGN,344.0,,0,320 319,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,41.2971,2.07846,Cologne Bonn Airport,Köln (Cologne),DE,50.865898,7.14274,1132.7,BCN-CGN
4U,2548.0,BCN,1218.0,DUS,345.0,,0,320 319,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,41.2971,2.07846,Düsseldorf Airport,Düsseldorf,DE,51.289501,6.76678,1167.4,BCN-DUS
4U,2548.0,BCN,1218.0,HAJ,352.0,,0,319,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,41.2971,2.07846,Hannover Airport,Hannover,DE,52.461102,9.68508,1367.6,BCN-HAJ
4U,2548.0,BCN,1218.0,HAM,342.0,,0,319,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,41.2971,2.07846,Hamburg Helmut Schmidt Airport,Hamburg,DE,53.630402,9.98823,1492.6,BCN-HAM
4U,2548.0,BCN,1218.0,STR,350.0,,0,319 320,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,41.2971,2.07846,Stuttgart Airport,Stuttgart,DE,48.689899,9.22196,994.7,BCN-STR
4U,2548.0,BDS,1506.0,STR,350.0,,0,319,Brindisi Airport,Brindisi,IT,40.6576,17.947001,Stuttgart Airport,Stuttgart,DE,48.689899,9.22196,1127.0,BDS-STR
4U,2548.0,BEG,1739.0,STR,350.0,,0,319,Belgrade Nikola Tesla Airport,Belgrade,RS,44.818401,20.309099,Stuttgart Airport,Stuttgart,DE,48.689899,9.22196,946.8,BEG-STR
4U,2548.0,BGO,636.0,HAM,342.0,,0,CRJ,"Bergen Airport, Flesland",Bergen,NO,60.2934,5.21814,Hamburg Helmut Schmidt Airport,Hamburg,DE,53.630402,9.98823,794.8,BGO-HAM
4U,2548.0,BHX,469.0,HAM,342.0,,0,CRJ,Birmingham Airport,"Birmingham, West Midlands",GB,52.453899,-1.74803,Hamburg Helmut Schmidt Airport,Hamburg,DE,53.630402,9.98823,794.5,BHX-HAM
4U,2548.0,BIA,1321.0,CGN,344.0,,0,319,Bastia-Poretta International airport,Bastia,FR,42.5527,9.48373,Cologne Bonn Airport,Köln (Cologne),DE,50.865898,7.14274,941.3,BIA-CGN
4U,2548.0,BIA,1321.0,DUS,345.0,,0,320,Bastia-Poretta International airport,Bastia,FR,42.5527,9.48373,Düsseldorf Airport,Düsseldorf,DE,51.289501,6.76678,993.0,BIA-DUS
4U,2548.0,BIA,1321.0,HAM,342.0,,0,CRJ,Bastia-Poretta International airport,Bastia,FR,42.5527,9.48373,Hamburg Helmut Schmidt Airport,Hamburg,DE,53.630402,9.98823,1232.3,BIA-HAM
4U,2548.0,BIA,1321.0,STR,350.0,,0,319,Bastia-Poretta International airport,Bastia,FR,42.5527,9.48373,Stuttgart Airport,Stuttgart,DE,48.689899,9.22196,682.7,BIA-STR
4U,2548.0,BIO,1216.0,DUS,345.0,,0,CRJ,Bilbao Airport,Bilbao,ES,43.301102,-2.91061,Düsseldorf Airport,Düsseldorf,DE,51.289501,6.76678,1147.6,BIO-DUS
4U,2548.0,BIO,1216.0,STR,350.0,,0,CRJ 319,Bilbao Airport,Bilbao,ES,43.301102,-2.91061,Stuttgart Airport,Stuttgart,DE,48.689899,9.22196,1110.4,BIO-STR
4U,2548.0,BLQ,1538.0,CGN,344.0,,0,319,Bologna Guglielmo Marconi Airport,Bologna,IT,44.5354,11.2887,Cologne Bonn Airport,Köln (Cologne),DE,50.865898,7.14274,769.0,BLQ-CGN
4U,2548.0,BRE,353.0,STR,350.0,,0,319 CRJ,Bremen Airport,Bremen,DE,53.046786,8.78932,Stuttgart Airport,Stuttgart,DE,48.689899,9.22196,485.4,BRE-STR
4U,2548.0,BRI,1501.0,CGN,344.0,,0,319,Bari Karol Wojtyła International Airport,Bari,IT,41.138901,16.760599,Cologne Bonn Airport,Köln (Cologne),DE,50.865898,7.14274,1309.7,BRI-CGN
4U,2548.0,BRI,1501.0,DUS,345.0,,0,CRJ,Bari Karol Wojtyła International Airport,Bari,IT,41.138901,16.760599,Düsseldorf Airport,Düsseldorf,DE,51.289501,6.76678,1363.0,BRI-DUS
4U,2548.0,BRI,1501.0,STR,350.0,,0,319,Bari Karol Wojtyła International Airport,Bari,IT,41.138901,16.760599,Stuttgart Airport,Stuttgart,DE,48.689899,9.22196,1027.2,BRI-STR
4U,2548.0,BRU,302.0,STR,350.0,,0,319 CRJ,Brussels Airport,Zaventem,BE,50.901402,4.48444,Stuttgart Airport,Stuttgart,DE,48.689899,9.22196,419.5,BRU-STR
