service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:TN:49522202,0,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49522206,0,0,0,0,0,1,1,20260225,20260324
IDFM:TN:49522225,1,1,1,1,1,0,1,20260225,20260324
IDFM:TN:49522227,0,0,0,1,0,0,0,20260225,20260312
IDFM:TN:49522229,1,1,1,0,1,1,0,20260227,20260313
IDFM:TN:49522233,1,0,1,0,1,1,1,20260225,20260324
IDFM:TN:49522236,0,1,0,1,0,0,0,20260226,20260312
IDFM:TN:49522238,1,1,0,0,0,1,1,20260228,20260324
IDFM:TN:49522243,0,0,0,0,0,0,1,20260308,20260324
IDFM:TN:49522251,1,1,1,1,1,0,0,20260227,20260313
IDFM:TN:49522298,1,0,0,0,0,0,0,20260302,20260309
IDFM:TN:49522379,1,1,1,1,1,0,0,20260227,20260324
IDFM:TN:49522457,0,1,0,1,1,1,1,20260226,20260324
IDFM:TN:49522482,0,0,1,0,0,0,0,20260225,20260304
IDFM:TN:49522660,1,1,1,1,1,1,1,20260227,20260324
IDFM:TN:49522869,1,1,0,1,1,1,1,20260226,20260324
IDFM:TN:49522877,1,1,1,1,1,1,0,20260225,20260324
IDFM:TN:49522890,1,1,0,0,1,1,1,20260227,20260324
IDFM:TN:49522902,0,0,1,1,0,0,0,20260225,20260312
IDFM:TN:49522964,1,1,1,1,0,0,0,20260225,20260324
IDFM:TN:49523033,0,0,0,0,1,0,0,20260227,20260313
IDFM:TN:49523069,1,0,0,0,0,1,1,20260227,20260323
IDFM:TN:49523073,0,1,0,1,1,0,0,20260226,20260313
IDFM:TN:49523109,1,1,0,0,0,1,1,20260228,20260324
IDFM:TN:49523111,1,1,0,0,0,1,1,20260228,20260324
IDFM:TN:49523114,0,1,1,1,0,0,0,20260225,20260324
IDFM:TN:49523133,0,0,0,0,0,1,0,20260228,20260321
IDFM:TN:49523240,1,1,1,1,1,0,0,20260302,20260324
IDFM:TN:49523242,1,1,1,1,1,0,1,20260227,20260324
IDFM:TN:49523244,1,1,1,1,1,0,1,20260302,20260324
IDFM:TN:49523272,0,0,0,0,1,0,0,20260227,20260227
IDFM:TN:49523302,1,1,1,1,0,0,0,20260225,20260324
IDFM:TN:49523311,0,0,0,0,1,0,0,20260227,20260306
IDFM:TN:49523362,0,0,1,0,0,0,0,20260225,20260225
IDFM:TN:49523365,0,0,0,1,0,0,0,20260226,20260226
IDFM:TN:49523377,0,0,0,0,0,1,0,20260228,20260314
IDFM:TN:49523381,0,0,0,0,0,1,0,20260228,20260314
IDFM:TN:49523422,0,0,1,1,1,1,0,20260225,20260228
IDFM:TN:49523466,0,0,0,0,0,1,1,20260225,20260313
IDFM:TN:49523471,0,0,1,1,1,1,1,20260225,20260313
IDFM:TN:49523478,0,0,1,1,1,1,1,20260225,20260313
IDFM:TN:49523483,0,0,0,1,1,1,1,20260225,20260313
IDFM:TN:49523486,1,1,1,1,0,1,1,20260225,20260312
IDFM:TN:49523505,0,0,1,1,1,0,0,20260225,20260313
IDFM:TN:49523532,0,0,1,0,0,0,0,20260311,20260311
IDFM:TN:49523552,1,1,1,1,1,1,0,20260225,20260324
