from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:monomodalStopPlace:43223,IDFM:472958,2,19
IDFM:472861,IDFM:471917,2,246
IDFM:471968,IDFM:470724,2,175
IDFM:471971,IDFM:463024,2,363
IDFM:monomodalStopPlace:45814,IDFM:30296,2,201
IDFM:471787,IDFM:471114,2,47
IDFM:21962,IDFM:471724,2,243
IDFM:472095,IDFM:470833,2,24
IDFM:22026,IDFM:22199,2,600
IDFM:472577,IDFM:471509,2,256
IDFM:monomodalStopPlace:46689,IDFM:25583,2,218
IDFM:472022,IDFM:470728,2,266
IDFM:471117,IDFM:471653,2,16
IDFM:463013,IDFM:473922,2,38
IDFM:470924,IDFM:472128,2,215
IDFM:22381,IDFM:473924,2,381
IDFM:472034,IDFM:472022,2,94
IDFM:470833,IDFM:471309,2,17
IDFM:472565,IDFM:472289,2,57
IDFM:470924,IDFM:21958,2,159
IDFM:471620,IDFM:471609,2,150
IDFM:470674,IDFM:28984,2,324
IDFM:471113,IDFM:472815,2,61
IDFM:471552,IDFM:472451,2,133
IDFM:22097,IDFM:22010,2,180
IDFM:471200,IDFM:472128,2,18
IDFM:471705,IDFM:472126,2,16
IDFM:471752,IDFM:monomodalStopPlace:47115,2,200
IDFM:472739,IDFM:20009,2,60
IDFM:471836,IDFM:471085,2,19
IDFM:472453,IDFM:470814,2,19
IDFM:471364,IDFM:471651,2,10
IDFM:471521,IDFM:471704,2,30
IDFM:471393,IDFM:471451,2,217
IDFM:471242,IDFM:monomodalStopPlace:47875,2,35
IDFM:monomodalStopPlace:47949,IDFM:monomodalStopPlace:472704,2,138
IDFM:monomodalStopPlace:58572,IDFM:471604,2,299
IDFM:monomodalStopPlace:463857,IDFM:472627,2,224
IDFM:472212,IDFM:monomodalStopPlace:473064,2,82
IDFM:473015,IDFM:471290,2,17
IDFM:472451,IDFM:41519,2,132
IDFM:474062,IDFM:470915,2,185
IDFM:28984,IDFM:472013,2,354
IDFM:474007,IDFM:monomodalStopPlace:58792,2,15
IDFM:463310,IDFM:22133,2,0
IDFM:473969,IDFM:473971,2,30
IDFM:monomodalStopPlace:473855,IDFM:monomodalStopPlace:43211,2,162
IDFM:monomodalStopPlace:43194,IDFM:472962,2,6
IDFM:472398,IDFM:477108,2,7
IDFM:470767,IDFM:472479,2,80
IDFM:474065,IDFM:471520,2,193
IDFM:471064,IDFM:472273,2,34
IDFM:monomodalStopPlace:471031,IDFM:471030,2,0
IDFM:471784,IDFM:17404,2,206
IDFM:monomodalStopPlace:473161,IDFM:monomodalStopPlace:43120,2,100
IDFM:472030,IDFM:472263,2,130
IDFM:monomodalStopPlace:46298,IDFM:470850,2,11
IDFM:21994,IDFM:21997,2,137
IDFM:471971,IDFM:472890,2,38
IDFM:monomodalStopPlace:473332,IDFM:472390,2,112
IDFM:471172,IDFM:471584,2,242
IDFM:472034,IDFM:monomodalStopPlace:58572,2,298
IDFM:472502,IDFM:monomodalStopPlace:58572,2,327
IDFM:22007,IDFM:472692,2,363
IDFM:470915,IDFM:471520,2,17
IDFM:21952,IDFM:463095,2,13
IDFM:471299,IDFM:472325,2,156
IDFM:420782,IDFM:monomodalStopPlace:43112,2,185
IDFM:472757,IDFM:471482,2,203
IDFM:411300,IDFM:monomodalStopPlace:473103,2,36
IDFM:472416,IDFM:9716,2,100
IDFM:471498,IDFM:21906,2,218
IDFM:492142,IDFM:monomodalStopPlace:47125,2,226
IDFM:472262,IDFM:22150,2,269
IDFM:471086,IDFM:monomodalStopPlace:47199,2,6
IDFM:472474,IDFM:471608,2,81
IDFM:22195,IDFM:22030,2,180
IDFM:472231,IDFM:472385,2,105
IDFM:472473,IDFM:470651,2,46
IDFM:470734,IDFM:22007,2,239
IDFM:22137,IDFM:463161,2,368
IDFM:monomodalStopPlace:47951,IDFM:470786,2,19
IDFM:470606,IDFM:472576,2,128
IDFM:monomodalStopPlace:43192,IDFM:30023,2,205
IDFM:472187,IDFM:monomodalStopPlace:47901,2,14
IDFM:472124,IDFM:470728,2,242
IDFM:13176,IDFM:470943,2,127
IDFM:482922,IDFM:472622,2,192
IDFM:486935,IDFM:monomodalStopPlace:486936,2,0
IDFM:monomodalStopPlace:46736,IDFM:473128,2,214
IDFM:470866,IDFM:470947,2,85
IDFM:471186,IDFM:470817,2,67
IDFM:472338,IDFM:472527,2,211
IDFM:472856,IDFM:488016,2,275
IDFM:monomodalStopPlace:473037,IDFM:472730,2,88
